ID,gForceX,gForceY,gForceZ,rotX,rotY,rotZ,rawWeight
336,-0.94,0.46,-0.26,-57.15,2.44,34.56,10602
337,-0.9,0.52,-0.26,-57.09,2.56,33.69,12277
338,-0.86,0.57,-0.25,-57.03,2.36,33.77,14261
339,-0.83,0.61,-0.24,-57.08,2.22,36.14,16314
340,-0.79,0.66,-0.23,-56.92,2.27,37.75,18119
341,-0.74,0.74,-0.21,-57.17,2.4,38.56,19801
342,-0.69,0.76,-0.21,-57.3,2.39,36.41,21665
343,-0.65,0.8,-0.2,-57.64,2.59,38.32,23732
344,-0.58,0.83,-0.19,-57.11,2.51,39.42,25174
345,-0.52,0.87,-0.19,-57.06,2.73,38.92,26324
346,-0.46,0.89,-0.18,-56.55,2.61,42.24,27951
347,-0.39,0.93,-0.17,-57.21,2.14,45.05,29264
348,-0.31,0.96,-0.15,-57.56,2.25,44.05,30139
349,-0.24,0.97,-0.13,-56.76,2.4,38.22,31196
350,-0.17,0.97,-0.13,-56.82,2.35,41.36,32455
351,-0.09,0.97,-0.13,-56.97,2.34,43.04,33536
352,-0.02,0.98,-0.09,-56.95,2.61,39.82,33705
353,0.06,0.97,-0.1,-57.31,2.31,42.23,33707
354,0.14,0.95,-0.09,-56.69,2.19,45.94,34039
355,0.22,0.95,-0.07,-56.54,2.36,44.48,33413
356,0.29,0.93,-0.08,-56.88,2.62,45.02,33044
357,0.38,0.87,-0.05,-57.07,2.18,51.66,32544
358,0.46,0.77,-0.03,-57.36,2.0,57.21,31139
359,0.57,0.78,-0.03,-58.43,2.21,75.04,29574
360,0.64,0.7,-0.02,-57.13,2.62,34.24,27183
361,0.7,0.62,-0.01,-57.6,2.26,52.1,26269
362,0.75,0.53,0.01,-57.41,1.87,47.23,24762
363,0.8,0.46,-0.0,-57.94,2.4,56.26,20722
364,0.86,0.37,0.0,-57.72,2.47,53.15,18268
365,0.88,0.3,-0.01,-57.11,1.78,46.89,14944
366,0.91,0.22,0.01,-57.49,2.11,42.51,12262
367,0.92,0.14,0.01,-56.78,2.35,39.4,9515
368,0.95,0.1,0.0,-56.9,2.05,33.97,6459
369,0.93,-0.0,-0.0,-56.92,2.23,34.76,3520
370,0.93,-0.09,0.02,-57.42,1.69,51.11,1103
371,0.93,-0.16,0.01,-57.39,2.01,59.83,-1562
372,0.9,-0.27,-0.0,-57.44,1.7,54.27,-5306
373,0.9,-0.39,0.0,-57.44,2.72,49.12,-8424
374,0.84,-0.46,-0.0,-57.54,2.29,64.59,-10764
375,0.78,-0.54,-0.03,-57.87,2.11,65.15,-18111
376,0.71,-0.65,-0.05,-57.66,1.79,59.36,-21742
377,0.64,-0.72,-0.05,-57.41,1.82,53.61,-24531
378,0.56,-0.76,-0.08,-57.22,2.51,55.81,-27342
379,0.51,-0.85,-0.06,-58.08,3.79,78.31,-30238
380,0.36,-0.92,-0.1,-58.16,1.92,77.18,-34630
381,0.21,-0.97,-0.12,-57.91,1.95,71.02,-37184
382,0.1,-1.01,-0.13,-57.65,2.42,64.52,-37806
383,-0.01,-1.05,-0.17,-58.79,1.8,79.93,-39197
384,-0.17,-0.95,-0.17,-59.29,1.52,93.98,-40652
385,-0.34,-0.97,-0.2,-58.54,1.07,89.35,-43080
386,-0.48,-0.9,-0.22,-58.8,1.63,82.89,-42563
387,-0.63,-0.69,-0.2,-58.04,2.13,71.31,-40024
388,-0.72,-0.79,-0.27,-59.39,1.98,103.15,-38193
389,-0.84,-0.6,-0.28,-59.2,1.35,116.56,-35763
390,-0.98,-0.43,-0.28,-59.1,-0.49,112.04,-34986
391,-0.99,-0.2,-0.3,-58.79,0.92,104.92,-30458
392,-1.03,-0.03,-0.38,-58.77,2.63,88.96,-22659
393,-1.05,0.12,-0.2,-59.73,0.48,128.95,-15642
394,-0.9,0.38,-0.15,-59.5,1.34,126.4,-8509
395,-0.83,0.62,-0.24,-59.93,1.12,120.65,-3855
396,-0.68,0.67,-0.22,-60.02,1.16,127.4,12056
397,-0.57,1.09,-0.31,-58.57,1.01,99.56,19271
398,-0.29,0.92,-0.03,-59.76,1.77,134.27,25553
399,-0.07,0.98,-0.11,-60.16,0.79,129.11,28158
400,0.16,0.95,-0.11,-59.42,1.37,123.69,30413
401,0.35,0.82,-0.06,-59.26,1.57,123.26,33513
402,0.51,0.84,-0.01,-59.54,2.96,109.63,33330
403,0.7,0.66,-0.09,-59.76,0.3,126.6,30662
